Latitude,Longitude,Speed_mph,Time_seconds,Point_Index
42.83770019,-78.68768259,29.7704,234.75,315
42.83769948,-78.68767487,29.3389,234.8,316
42.83769906,-78.6876673,28.8402,234.85,317
42.83769866,-78.68765983,28.3861,234.9,318
42.83769858,-78.68765244,27.9938,234.95,319
42.83769888,-78.68764513,27.5456,235.0,320
42.83769945,-78.68763774,27.46,235.05,321
42.83769988,-78.6876303,27.4826,235.1,322
42.8377005,-78.68762312,27.186,235.15,323
42.83770142,-78.6876162,26.5948,235.2,324
42.8377028,-78.68760967,25.9423,235.25,325
42.8377043,-78.68760328,25.4707,235.3,326
42.83770583,-78.68759662,25.5183,235.35,327
42.83770733,-78.68758982,25.6238,235.4,328
42.83770912,-78.68758326,25.7314,235.45,329
42.83771108,-78.68757711,25.2258,235.5,330
42.8377133,-78.68757128,24.6809,235.55,331
42.83771588,-78.68756575,24.3738,235.6,332
42.83771875,-78.68756045,24.1368,235.65,333
42.83772133,-78.6875554,23.4961,235.7,334
42.83772398,-78.68755041,23.0065,235.75,335
42.83772684,-78.68754549,22.8341,235.8,336
42.8377299,-78.6875409,22.5431,235.85,337
42.83773321,-78.6875368,22.3293,235.9,338
42.83773696,-78.68753254,22.6026,235.95,339
42.83774129,-78.68752863,23.2413,236.0,340
42.83774529,-78.68752488,23.2662,236.05,341
42.83774985,-78.687522,23.2759,236.1,342
42.83775444,-78.68751958,23.2312,236.15,343
42.83775892,-78.6875171,23.2945,236.2,344
42.83776343,-78.68751484,23.3217,236.25,345
42.83776799,-78.68751263,23.647,236.3,346
42.8377728,-78.68751068,23.9556,236.35,347
42.83777764,-78.68750906,24.079,236.4,348
42.8377826,-78.68750807,24.1223,236.45,349
42.8377877,-78.68750756,24.232,236.5,350
42.8377929,-78.68750733,24.5524,236.55,351
42.83779812,-78.6875071,24.9878,236.6,352
42.83780337,-78.68750742,25.1736,236.65,353
42.83780875,-78.68750824,25.3915,236.7,354
42.83781403,-78.68750917,25.5751,236.75,355
42.83781928,-78.6875105,25.7558,236.8,356
42.83782458,-78.687512,26.0606,236.85,357
42.83783009,-78.68751377,26.4811,236.9,358
42.83783555,-78.68751575,26.8441,236.95,359
42.83784064,-78.687518,26.8429,237.0,360
42.83784553,-78.68752074,26.7339,237.05,361
42.8378506,-78.6875239,26.9311,237.1,362
42.83785581,-78.68752732,27.3878,237.15,363
42.83786074,-78.68753101,27.5638,237.2,364
42.8378656,-78.68753512,27.7248,237.25,365
42.83787053,-78.68753924,27.9929,237.3,366
42.8378754,-78.68754363,28.2057,237.35,367
42.83788027,-78.68754829,28.5825,237.4,368
42.83788515,-78.68755343,29.1916,237.45,369
42.83788997,-78.68755856,29.5716,237.5,370
42.83789464,-78.6875637,29.6767,237.55,371
42.83789918,-78.68756904,29.8158,237.6,372
42.83790369,-78.68757459,29.9988,237.65,373
42.83790824,-78.68758039,30.3093,237.7,374
42.83791262,-78.68758626,30.4537,237.75,375
42.83791696,-78.68759224,30.4459,237.8,376
42.83792116,-78.68759837,30.6638,237.85,377
42.83792555,-78.68760475,31.0037,237.9,378
42.83792969,-78.68761111,31.1883,237.95,379
42.83793391,-78.68761765,31.4169,238.0,380
42.83793794,-78.68762449,31.6245,238.05,381
42.83794186,-78.68763127,31.7393,238.1,382
42.83794556,-78.68763835,31.9175,238.15,383
42.83794915,-78.68764572,32.0819,238.2,384
42.83795277,-78.68765329,32.5178,238.25,385
42.83795605,-78.68766125,32.9483,238.3,386
42.83795925,-78.68766936,33.2596,238.35,387
42.83796225,-78.68767741,33.3284,238.4,388
42.83796538,-78.68768542,33.4054,238.45,389
42.83796826,-78.68769355,33.3435,238.5,390
42.83797077,-78.68770191,33.3395,238.55,391
42.83797321,-78.68771072,33.7386,238.6,392
