Latitude,Longitude,Speed_mph,Point_Index
42.83803345,-78.68776685,0.05,0
42.83803345,-78.68776685,0.05,1
42.83803345,-78.68776685,0.05,2
42.83803345,-78.68776685,0.05,3
42.83803345,-78.68776685,0.05,4
42.83803344,-78.68776683,0.0611,5
42.83803338,-78.68776674,0.0224,6
42.83803335,-78.68776667,0.085,7
42.8380333,-78.68776664,0.0693,8
42.83803337,-78.68776673,0.0701,9
42.83803336,-78.68776664,0.0951,10
42.83803327,-78.68776659,0.1242,11
42.83803312,-78.68776661,0.1909,12
42.83803307,-78.68776661,0.1968,13
42.83803317,-78.68776659,0.0725,14
42.83803317,-78.68776659,0.1035,15
42.83803311,-78.68776661,0.0528,16
42.83803304,-78.68776651,0.0561,17
42.83803303,-78.68776649,0.0544,18
42.83803303,-78.68776649,0.0866,19
42.83803303,-78.68776649,0.0852,20
42.83803301,-78.68776652,0.0463,21
42.83803291,-78.68776654,0.0275,22
42.83803291,-78.68776654,0.0224,23
42.83803286,-78.68776656,0.0224,24
42.83803286,-78.68776668,0.0561,25
42.83803283,-78.68776668,0.0669,26
42.83803276,-78.68776677,0.0715,27
42.83803273,-78.68776669,0.0408,28
42.83803272,-78.68776679,0.0954,29
42.83803264,-78.68776671,0.0732,30
42.83803267,-78.68776671,0.0868,31
42.83803255,-78.68776673,0.052,32
42.83803255,-78.68776686,0.1344,33
42.83803247,-78.68776693,0.1078,34
42.83803244,-78.687767,0.0863,35
42.83803244,-78.687767,0.0643,36
42.83803244,-78.687767,0.0374,37
42.83803244,-78.687767,0.0761,38
42.83803236,-78.6877671,0.1322,39
42.83803233,-78.68776714,0.1228,40
42.83803232,-78.68776714,0.0045,41
42.83803226,-78.68776709,0.0727,42
42.83803222,-78.68776712,0.0559,43
42.83803215,-78.68776728,0.1437,44
42.83803202,-78.68776728,0.1064,45
42.83803207,-78.68776719,0.0593,46
42.8380321,-78.68776719,0.0434,47
42.83803202,-78.68776719,0.1255,48
42.83803194,-78.6877671,0.0735,49
42.83803192,-78.68776712,0.0766,50
42.83803193,-78.68776712,0.0564,51
42.83803194,-78.687767,0.0235,52
42.83803195,-78.68776712,0.049,53
42.83803194,-78.68776711,0.0661,54
42.83803194,-78.68776709,0.0922,55
42.83803195,-78.68776721,0.0896,56
42.83803181,-78.6877671,0.0525,57
42.83803181,-78.68776712,0.0561,58
42.83803181,-78.68776705,0.0417,59
42.83803183,-78.68776716,0.1169,60
42.83803175,-78.68776704,0.185,61
42.83803175,-78.68776704,0.1421,62
42.83803171,-78.68776706,0.0962,63
42.83803187,-78.68776705,0.17,64
42.83803177,-78.68776717,0.1892,65
42.83803176,-78.68776709,0.0934,66
42.83803172,-78.68776718,0.0728,67
42.83803171,-78.68776721,0.0798,68
42.83803183,-78.68776729,0.1293,69
42.83803172,-78.68776723,0.1445,70
42.83803166,-78.68776734,0.2316,71
42.83803141,-78.68776731,0.404,72
42.83803144,-78.68776733,0.4832,73
42.83803127,-78.68776749,0.5604,74
42.83803117,-78.68776766,0.5322,75
42.8380311,-78.68776742,0.4181,76
